Product Name,Price,Original Prices,Discount rates
Colavita PAPPARDELLE 500 G Shell Pasta,335,340,1% off
Markstor Premium Dark Dates - Imported Dates,290,500,42% off
Alpino Natural Peanut Butter Smooth 2kg (1kg Pack Of 2)...,710,850,16% off
SUN'A'DO Dried Apricots 200g (Pack of 2) Apricots,581,598,2% off
Tang Orange Instant Drink Mix,182,210,13% off
Delight Nuts Dried Apricots -200gm (Pack of 2) Apricots,542,558,2% off
Alpino Natural Honey Peanut Butter Smooth 2kg (1kg Pack...,725,898,19% off
Dolce Vita Pure Olive Oil Plastic Bottle,"5,025",NaN,Nan
Disano Olive Pomace Oil Plastic Bottle,229,450,49% off
Glomin Premium Seedless Green (Kishmish) Raisins,474,850,44% off
Tang Mango Instant Drink Mix,199,210,5% off
Hershey's Cocoa with Almond Spreads 216 g,192,240,20% off
Happilo Dried and Pitted Premium Californian Prunes,367,490,25% off
Alpino Organic Natural Peanut Butter Crunch 1kg 1000 g,425,499,14% off
"Tang Orange Instant Drink Mix, 500g(Each)",264,270,2% off
Pastificio Riscossa Lasagna Riccia Pasta Shell Pasta,235,NaN,Nan
Alpino Natural Peanut Butter Crunch 2kg (Unsweetened) (...,710,850,16% off
Leonardo Extra Light Refined Olive Oil Plastic Bottle,"2,133","2,599",17% off
Neuherbs Instant Green Coffee Lemon 30 Sachet Instant C...,349,440,20% off
"Puvi Cold Pressed Gingelly/Sesame Oil (Virgin, Chekku/G...",490,525,6% off
Pintola Classic Peanut Butter (Crunchy) 1 kg,319,349,8% off
Dexolac Premium Infant Formula Powder (Stage 1),595,NaN,Nan
Eighty 7 cashew 250gm Cashews,357,447,20% off
Eighty 7 Raisins Raisins,174,187,6% off
NutrineLife With the Mother Vinegar,499,899,44% off
Delight Nuts Pistachios (Roasted & Salted)-750gm Pistac...,"1,358","1,399",2% off
Yuvika Laung - Syzygium aromaticum - Clove (800 GM),"1,149","2,199",47% off
