Product Name,Price,Original Prices,Discount rates
LMN Child Care Booties,199,499,60% off
Sunbaby Musical Activity Walker With Parent Rod,"1,299","1,799",27% off
SYGA 4 Pcs Baby Milk Bottle Nipple Straw Brush Sponge N...,199,450,55% off
Pampers Pants Diapers Monthly Box Pack New - M,"1,679","2,099",20% off
Himalaya Original Baby Shampoo Baby Boys & Baby Girls,419,550,23% off
BodyGuard Premium Paraben Free Baby Wet Wipes with Aloe...,243,375,35% off
"Pampers New Diaper Pants Super Value Box, Small (Pack o...","2,319","2,899",20% off
Pampers Baby-Dry Pants Diaper - M,873,"1,049",16% off
Nestle Lactogen Follow-up Formula Powder (Stage 2),315,NaN,Nan
My New Born Cartoon Crib AC Blanket,285,900,68% off
mile fashion New Born Washable Reusable Hosiery Cotton ...,339,799,57% off
LuvLap Silicone Breast Shield Breast Nipple Shield,186,219,15% off
Fareto Baby Hosiery Single Layer Cotton Cloth Tying Kno...,350,699,49% off
Pampers Baby-Dry Pants Diaper - L,891,"1,099",18% off
Pampers Diaper Pants Monthly Pack - S,"1,759","2,199",20% off
mile fashion New Born Washable Reusable Hosiery Cotton ...,339,799,57% off
Pigeon Peristaltic Nursing Bottle Rpp 240Ml (White) Nip...,350,NaN,Nan
Pampers Baby-Dry Pants Diaper - New Born,891,"1,049",15% off
Philips Avent Premium,399,525,24% off
The Moms Co. Tear-Free Natural Baby Wash with Calendula...,664,699,5% off
Himalaya Original Baby Lotion,419,550,23% off
Pampers Active Baby Diapers - S,746,749,Nan
Himalaya Baby Massage Oil,95,NaN,Nan
"Mamaearth Complete Baby Care Kit with Baby Lotion, Sham...",979,"1,195",18% off
Similac IQ Plus Infant Formula (Stage 1),650,NaN,Nan
Pampers Premium Care Pants Diapers Small Size 140 pc Pa...,"1,679","2,099",20% off
Mamaearth Deeply Nourishing Body Wash for Babies,170,199,14% off
Pampers Active Baby Diapers - New Born,972,999,2% off
Mothercare All We Know Baby Shampoo - K3600 Baby Boys &...,331,349,5% off
Himalaya Refreshing Baby Soap,68,70,2% off
Himalaya Total Care Baby Pants - M,339,400,15% off
Dexolac Infant Formula Powder (Stage 3),304,NaN,Nan
Chicco Body Wash and Shampoo (500ml) Baby Boys & Baby G...,479,NaN,Nan
Pampers Baby-Dry Pants Diaper - S,934,"1,099",15% off
Aptamil Infant Formula (Stage 2),705,NaN,Nan
Pigeon Peristaltic Nipple 3 Pc L Size Fast Flow Nipple,270,NaN,Nan
Pampers Active Baby Diapers Large - L,996,"1,049",5% off
Pampers Baby-Dry Pants Diaper - M,618,699,11% off
Baby Plus Baby Diaper Pants Medium (8 Pack X 36 Pcs) - ...,"2,235","3,992",44% off
Johnson's Baby Care Collection,190,200,5% off
Cetaphil Baby Daily Lotion,619,685,9% off
Billion Extra Absorb Diaper Pants - S,419,520,19% off
Philips Avent Natural - 125 ml,395,NaN,Nan
Pampers Pants Diapers Monthly Box Pack New - M,"1,679","2,099",20% off
"Cetaphil Baby Gentle Wash and Shampoo, With Shea Butter...",963,"1,150",16% off
Biotique Bio Disney Pixar Cars Nutty Almond Nourishing ...,55,NaN,Nan
Hetkrishi Bath Toys for Baby Non-Toxic Toddler Set Mult...,299,699,57% off
Pampers Baby-Dry Pants Diaper - M,873,"1,049",16% off
Pampers Baby-Dry Diapers Small - New Born,284,299,5% off
Johnson's Milk Plus Rice Cream,74,75,1% off
"Pampers New X-Large Size Diapers Pants, 21 Count - XL",379,399,5% off
Himalaya Baby Pants - L,798,800,Nan
Huggies New Dry Diapers - M,790,NaN,Nan
Pampers Baby-Dry Pants Diaper - L,891,"1,099",18% off
LuvLap Baby 100% Unbleached Cotton Buds Eco friendly - ...,109,NaN,Nan
Manna Banana Rich Cereal,184,NaN,Nan
Johnson's Baby Powder Blossoms,145,NaN,Nan
Pampers Baby-Dry Pants Diaper - New Born,891,"1,049",15% off
Huggies Wonder pants - M,"1,407","1,599",12% off
Pigeon Nose Cleaner Manual Nasal Aspirator,258,319,19% off
Miss & Chief Polycotton Bedding Set,650,"1,999",67% off
Pampers Baby-Dry Pants Diaper - L,192,199,3% off
Dove Baby Lotion Rich Moisture,175,180,2% off
"Mamaearth Complete Baby Care Kit with Baby Lotion, Sham...",979,"1,195",18% off
BELLA BABY HAPPYDIAPERS - M,476,529,10% off
Huggies Wonder Sumo Pack - M,"2,687","3,199",16% off
Billion Extra Absorb Diaper Pants - XL,419,520,19% off
Pampers Active Baby Diapers - New Born,972,999,2% off
Dash Musical Walker & Rocker With Parent Rod,"2,799","4,200",33% off
Mothercare All We Know Baby Lotion - K3602,297,379,21% off
Sebamed Childrens'Shampoo Baby Boys & Baby Girls,869,927,6% off
Huggies Wonder Sumo Pack - L,"2,687","3,199",16% off
CHHOTE SAHEB Cotton U shape Baby Pillow Pack of 1,189,399,52% off
Pampers Baby-Dry Pants Diaper - S,934,"1,099",15% off
1st Step Size Adjustable Reusable Diaper With Diaper Li...,539,599,10% off
Little's Soft Cleansing Baby Wipes Lid Pack of 5,424,995,57% off
